manufacturer,foundation,founder,location_city,industry,owner
sierra home,,KenWilliams(gamedeveloper)KenWilliamsRobertaWilliams,,VideogameindustryVideogames,
hewlett packard (consumables),1939,sublBillHewlettDavidPackard,,ComputerhardwareSoftwareComputersoftwareITservicemanagementITservicesInformationtechnologyconsultingITconsulting,
corel,1985,MichaelCowpland,"Ottawa,Ontario,Canada",SoftwarecomputerprogrammingProgramming,KohlbergKravisRoberts
learning company,1980,sAnnMcCormick<br>LeslieGrimm<br>TeriPerl,"Boston,Massachusetts",,
infogrames,,BrunoBonnell,,VideogameindustryVideogames,
edmark,1970,GordonB.Bleil,"Redmond,Washington",CD-ROMsoftwareinternet,
vivendi games,,,,VideogameindustryVideogames,
hasbro interactive,1995,,"Alameda,California&ChapelHill,NorthCarolina",VideogameindustryVideogames,
intego,1997,,Seattle,ComputersoftwareSecuritysoftware,
humongous sports,,UnbulletedlistRonGilbertShelleyDay,,VideogameindustryVideogames,
disney interactive,,,,VideogameindustryVideogames,
the learning company,1980,sAnnMcCormick<br>LeslieGrimm<br>TeriPerl,"Boston,Massachusetts",,
encore software inc,,,"SanJose,California",SoftwareDevelopmentandDistribution,
ubi soft,,ChristianGuillemotClaudeGuillemotGérardGuillemotMichelGuillemotYvesGuillemot,,VideogameindustryVideogames,"sGuillemotfamily(18.5%)<ref>citewebtitleVivendidropsbidforgamemakerUbisoft,endingacontentiousthreeyeartakeoverbattleurlhttps://www.cnbc.com/2018/03/20/vivendi-drops-bid-for-ubisoft.htmldate20March2018access-date10November2018websiteCNBC"
majesco entertainment,,,,VideogameindustryVideogames,
dreamcatcher interactive,1996,RichardWahKan,,VideogameindustryVideogames,
mcafee,1987,JohnMcAfee,,Computersoftware,sPlainlist*TPGCapital(51%)*Intel(49%)*ThomaBravo(minoritystake)
roxio,2001,,"SantaClara,California",Software,
sony pictures home entertainment,,,,HomevideoHomeentertainment,
zone labs,1993,sGilShwed MariusNacht ShlomoKramer,,SecuritysoftwareComputerhardware,
sony computer entertainment,1993,,,VideogameindustryVideogames,
riverdeep,1995,,BostonandDublin,CD-ROMsoftware,
iris inc.,,"	Ubl","Berkeley,California","	Ubl",
trend micro,1988,陳怡樺(EvaChen)<br>張明正(SteveChang)<br>JennyChang,,Software,
kaspersky lab,,,,"Computersoftwareciteweburlhttp://www.hoovers.com/company-information/cs/company-profile.laboratoriya_kasperskogo_ao.9ef9b249250ca034.htmltitleLABORATORIYAKASPERSKOGO,AO&nbsp;–CompanyOverviewpublisherHoover's",
lego media,,OleKirkChristiansen,,Toys,sKirkbiA/S(75%)TheLegoFoundation(25%)<ref>http://www.kirkbi.com/business-areas/the-lego-group</ref>
vivendi universal,,"NapoleonIII<refname""vivendiabout"">citeweburlhttp://www.vivendi.com/en/vivendi-en/our-history/the-groups-origins/titleThegroup'soriginspublisherVivendiaccessdate12March2017</ref>",,Massmedia,Bolloréfamily(30%votingpower)
computer associates international,1976,sCharlesB.Wang RussellArtzt,,Enterprisesoftware,
enfocus software,2002,,Ghent,Graphicarts,
global software publ na,2008,,,Cloudcommunications,
corel corp,1985,MichaelCowpland,"Ottawa,Ontario,Canada",SoftwarecomputerprogrammingProgramming,KohlbergKravisRoberts
microsoft corp,,,,Unbulletedlist,
mindjet,1998,MikeandBettinaJetter,SanFrancisco,ProjectmanagementsoftwareWorkmanagementsoftware,Corel
freeverse software,,,,VideogameindustryVideogamesSoftwareindustrySoftware,
webroot software inc,1997,,,ComputerSecurityMobileSecuritySoftwareasaService,
aspyr media,,,,VideogameindustryVideogames,
yamaha,1887,,"Hamamatsu,ShizuokaPrefectureShizuoka","	Multi-industry(company)Multi-industry",
serious magic,2001,,"Folsom,California",Computersoftware,
riverdeep - learning company,1995,,BostonandDublin,CD-ROMsoftware,
entertainment partners,1991,"sBernieBrillstein,BradGreyindustry:Category:TalentandliteraryagenciesTalentandLiteraryAgencies",,,
steinberg,1984,KarlSteinberg ManfredRürup,Hamburg,SoftwareDevelopment,
phase one,1993,,,Digitalimaging,
abacus software,1983,JuddKessler,"SanDiego,CaliforniaCA",Software,
emedia music,2013,,,BroadcastTelevisionnetworktelevisionandRadionetwork,
ingram micro,1979,,,InformationTechnology,"HNATechnologyHNATechnologyCo.,Ltd"
sony media software,2003,,"Middleton,Wisconsin",Software,Sony
feral interactive,1996,,,VideogameindustryVideogames,
sega of america inc.,,MartinBromleyRichardStewart,,VideogameindustryVideogames,
navarre (software),1983,EricH.Paulson,"Greenville,SC,NewYork,NY",Musicandfilmdistributionandpublishing,GeofLewisandPeterRichichi
warner new media,,SteveRoss(businessman)SteveRoss,,Massmedia,
simply put software llc,,,"Columbus,Ohio,UnitedStates",Software,
grisoft,1991,JanGritzbachandTomášHofer,,,
